19,Granger,Ludwikiewicz,gludwikiewiczi@ftc.gov,65.26,d0d74724-5e9a-4ba3-813a-f7a24d25f0f3,Stretch Pants,2019-01-12
42,Blanche,Fursse,bfursse15@irs.gov,44.17,453d9184-bd97-48d8-9e1a-1fb826b9e80a,Ski Coat,2019-06-24
53,Elspeth,Heindrick,eheindrick1g@cdc.gov,85.9,3b3e4705-47fb-498d-b7eb-6f5fb1217230,Leggings,2019-09-25
62,Delmor,Gristhwaite,dgristhwaite1p@senate.gov,42.4,e159d698-a367-46d7-b6d0-5af22ec9e718,Vest,2019-08-17
82,Tomlin,Ebbotts,tebbotts29@senate.gov,2.24,7b971f71-734d-4f46-a129-7645e28df3a5,Vest,2019-05-22
87,Weber,Igglesden,wigglesden2e@usgs.gov,25.1,c4b36071-7344-4db8-b221-d0fb3636afe7,Polo Shirt,2019-02-21
107,Adriana,Jordison,ajordison2y@epa.gov,1.37,bfd8a82d-593c-4e71-95d8-2a9793c09737,Sweater,2019-10-13
134,Kippie,Sabbins,ksabbins3p@whitehouse.gov,62.07,13537d87-6b43-438e-ad9f-33af4cb9abf9,Jeans,2019-04-04
219,Zaneta,McLafferty,zmclafferty62@hud.gov,62.1,6a9fd48c-5d30-4f9f-b7a8-595743c2eacb,Sneakers,2019-10-02
227,Robena,Kaubisch,rkaubisch6a@fema.gov,43.42,e7b3d665-ea97-498c-9998-7d88ef5e6292,Ski Coat,2019-11-21
253,Kearney,Ropkes,kropkes70@nih.gov,1.01,58187bcf-53dd-4f66-aa3e-0e0741b76773,Sweater,2019-01-28
256,Nelson,Chillistone,nchillistone73@irs.gov,70.36,38f36ecd-6d16-494c-a5c1-908dc62f05b9,Ski Coat,2019-06-02
260,Anni,Dispencer,adispencer77@ed.gov,36.38,ab3257f0-a2f4-490f-8ef4-5cc0fa6570c5,Leggings,2019-11-11
299,Baxie,Olphert,bolphert8a@usgs.gov,49.25,ab5acc0f-3585-4359-a64c-4b4d43445707,V-Neck Pullover,2019-03-06
300,Carolyn,Hubert,chubert8b@ed.gov,45.42,cf71bc20-c702-47c0-b238-b0ebdf3e1ab2,Sweater,2019-12-04
327,Jana,Hoopper,jhoopper92@ed.gov,50.01,a2adba4d-0ac6-4669-be94-3a970f078037,Sneakers,2019-03-25
359,Melanie,Strewther,mstrewther9y@irs.gov,57.17,f8dbbfcf-b476-4ea4-a420-15a121522e07,Stretch Pants,2019-06-07
376,Bernie,Orwin,borwinaf@house.gov,43.29,0f8e42af-ef46-4782-a354-132e13965453,Stretch Pants,2019-07-05
415,Chane,McCarrison,cmccarrisonbi@nih.gov,36.77,a39f9653-a27b-446f-ae87-568a5eb93c76,Vest,2019-04-19
416,Alis,Delacote,adelacotebj@fda.gov,71.75,cbf4358c-6699-48b6-b4dd-411a3eee2d99,Vest,2019-02-10
421,Hilary,Rintoul,hrintoulbo@nasa.gov,15.16,f5879c4b-17aa-4715-8122-ceeb95f1f094,Sweater,2019-02-12
472,Meryl,Gooly,mgoolyd3@usgs.gov,47.87,0e961011-de76-48e9-8568-7e80cd4e4a58,V-Neck Pullover,2019-09-20
497,Zia,Winterflood,zwinterfloodds@irs.gov,52.06,8156e079-b583-4716-9427-f7d5f7178fbc,Leggings,2019-08-14
542,Kendra,MacGragh,kmacgraghf1@ftc.gov,71.45,479ecdff-8b40-4cc1-a36a-91a9bef9cffc,Jeans,2019-12-15
622,Dyanne,Trewhella,dtrewhellah9@ftc.gov,64.51,38fabe68-5f72-4eed-8ca1-f77d2e95d2e6,Vest,2019-09-14
624,Ester,Paterson,epatersonhb@fema.gov,27.05,e3510941-ae45-4650-995c-a005a669d405,Sneakers,2019-03-21
626,York,Turn,yturnhd@whitehouse.gov,66.59,f0288c01-a462-4c1a-a9eb-64f9f9139379,Sneakers,2019-03-09
627,Cloris,Franciotti,cfranciottihe@nih.gov,23.93,3c0fdb42-4782-439c-846f-bd4dc2d83d06,Fleece Jacket,2019-04-24
635,Laure,Rawls,lrawlshm@dot.gov,74.84,ce65088d-c3e6-4cf2-9e20-6993e2e4b55f,Stretch Pants,2019-02-18
649,Ibby,Deave,ideavei0@fda.gov,18.2,f59df164-6290-4638-ae16-462d5efdd930,Polo Shirt,2019-12-19
659,Jasper,Banbury,jbanburyia@cdc.gov,10.62,5b1ff5f0-0861-4832-9294-bafffd421602,Jeans,2019-04-04
703,Rubi,Valens-Smith,rvalenssmithji@hud.gov,42.62,0683b485-4e2e-4ab6-aa22-3e341c72fb38,Ski Coat,2019-07-10
705,Jeremie,Dyka,jdykajk@senate.gov,20.61,a5dafad6-4084-40c0-96ef-315accb213fe,Tank Top,2019-09-22
721,Penny,Zoppo,pzoppok0@ca.gov,45.47,c096666e-dbcf-40a9-a4af-b9e68e1004b3,Leggings,2019-12-29
781,Nichole,MacAless,nmacalesslo@noaa.gov,77.0,741a39df-924d-45af-aa69-dcd2be4ca630,Jeans,2019-06-08
805,Thibaut,Gilbert,tgilbertmc@epa.gov,77.14,42eec2d3-5b01-42cd-84bf-2ba425bac421,Sweater,2019-11-20
832,Renaldo,Riches,rrichesn3@ed.gov,77.26,004f110c-a37f-4ffb-963d-039977e607ea,Sweater,2019-09-02
859,Myra,Guerro,mguerronu@nps.gov,25.4,d773975d-008a-4b57-a723-e36ec06ecaea,Sneakers,2019-10-22
864,Pattie,Bartholomew,pbartholomewnz@nasa.gov,53.09,eb74dcfa-5234-46cc-bab7-77d85a4345b3,Tank Top,2019-05-18
